#-------------------------------
[CAMPER,Austin,0]            #---- TrainerBattle.start(:CAMPER,"Austin",0)
LoseText = Did anybody ever hear what happened to James Mulgrave?
#--------------
Pokemon = FOONGUS,15
    Gender = female
    Shiny = false
#--------------
Pokemon = PARAS_6,16
    Form = 6
    Gender = female
    Shiny = false
#--------------
Pokemon = SHROOMISH_6,15
    Form = 6
    Gender = male
    Shiny = false
#-------------------------------
[FISHERMAN,Barry,0]            #---- TrainerBattle.start(:FISHERMAN,"Barry",0)
LoseText = Why do I always lose?
#--------------
Pokemon = MAGIKARP,2
    Gender = male
    Shiny = false
#--------------
Pokemon = MAGIKARP,4
    Gender = female
    Shiny = false
#--------------
Pokemon = MAGIKARP,6
    Gender = male
    Shiny = false
#-------------------------------
[EDGYYOUNGSTER,Bob,0]            #---- TrainerBattle.start(:EDGYYOUNGSTER,"Bob",0)
LoseText = No, how could you do this to Ragnar?
#--------------
Pokemon = POOCHYENA,4
    Gender = male
    Shiny = false
#--------------
Pokemon = BABYRAGNAR,6
    Gender = female
    Shiny = false
#-------------------------------
[LEADER_Brock,Brock,2]            #---- TrainerBattle.start(:LEADER_Brock,"Brock",2)
LoseText = Very good.
Items = FULLRESTORE,FULLRESTORE
#--------------
Pokemon = GEODUDE,12
    Gender = female
    Shiny = false
    Moves = DEFENSECURL,HEADSMASH,ROCKPOLISH,ROCKTHROW
    AbilityIndex = 0
    IV = 20,20,20,20,20,20
#--------------
Pokemon = ONIX,14
    Name = Rocky
    Gender = male
    Shiny = true
    SuperShiny = true
    Moves = HEADSMASH,ROCKTHROW,RAGE,ROCKTOMB
    AbilityIndex = 0
    Item = SITRUSBERRY
    IV = 20,20,20,20,20,20
    Ball = HEAVYBALL
#-------------------------------
[LEADER_Brothers,Brothers,0]            #---- TrainerBattle.start(:LEADER_Brothers,"Brothers",0)
LoseText = To be fair, you were better.
Items = FULLRESTORE
#--------------
Pokemon = FOONGUS,18
    Gender = female
    Shiny = false
    Moves = GROWTH,POISONPOWDER,MEGADRAIN,SYNTHESIS
    Ability = REGENERATOR
    IV = 20,20,20,20,20,20
#--------------
Pokemon = FOMANTIS,18
    Gender = female
    Shiny = false
